DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd
19/06/2012,ORD,DFW,12.875,12.33129622,9.812647119
10/09/2012,LAS,DEN,14.28571429,10.77518151,9.466733736
05/10/2012,DEN,LAX,10.86363636,11.08317675,9.035883252
09/10/2011,ATL,ORD,11.48,11.16926784,7.990202334
21/02/2012,DEN,SFO,11.45,11.26936373,9.517159019
22/01/2013,ATL,MCO,10.36363636,12.07364919,8.232024889
20/10/2011,SFO,LAS,15.26666667,11.17393612,9.808277058
28/01/2012,EWR,ORD,8.588235294,9.5999524,6.165010376
27/05/2012,ATL,CLT,10.23809524,9.175645143,6.609877169
22/02/2013,ATL,DEN,8.294117647,10.73431968,5.542615649
25/04/2012,ATL,MSP,12.6,10.76939863,9.725396307
31/01/2013,ORD,EWR,8.933333333,12.33630287,9.407190765
23/06/2012,IAH,LAX,13.62962963,10.26730984,9.178353079
12/09/2011,LAX,ORD,12.80769231,12.66755768,8.129055201
15/11/2012,DFW,ORD,9.9,12.87906243,6.608606828
04/03/2012,ATL,DEN,10.56521739,10.561284,7.590820335
10/01/2012,ORD,PHX,13.76,10.64980794,9.95523313
13/02/2013,SEA,SFO,7,11.75764417,4.472135955
15/06/2012,EWR,MCO,12.875,10.51539476,9.665323495
03/02/2012,ATL,MSP,9.842105263,10.91421574,7.819229558
06/02/2013,SFO,DEN,10.52380952,10.91956718,7.13876073
02/12/2011,ORD,DTW,9.833333333,11.25155953,8.304853294
27/08/2012,JFK,MIA,16.06896552,10.21347175,10.34729445
16/04/2012,PHL,DFW,6.153846154,11.36435988,4.180234321
12/11/2012,EWR,BOS,11,11.74051847,8.711758539
08/09/2011,ATL,PHL,8.684210526,11.55241587,6.700353486
24/10/2012,LAS,JFK,14.03571429,11.40186904,8.971073444
16/04/2012,ORD,EWR,8.133333333,12.11351279,6.289068369
14/03/2012,PHL,ATL,8.176470588,11.52943847,6.616601225
24/07/2012,EWR,SFO,13.96,10.62494123,10.92199615
19/11/2011,SFO,ATL,9.526315789,9.765837305,6.653056282
02/05/2012,JFK,MCO,13.85185185,10.63741603,9.247468276
04/03/2013,MIA,JFK,13,9.890535077,8.883505314
28/04/2012,SEA,ORD,7.625,9.755890744,4.964876635
31/08/2012,LAS,JFK,17.62162162,11.12193089,11.68653392
11/02/2012,MIA,LGA,13.78947368,10.26730984,13.22698818
17/01/2013,DTW,ATL,8.166666667,11.04360019,6.223768482
01/08/2012,ORD,DTW,10.65,11.40186904,9.836960378
13/10/2012,LAX,JFK,17,12.79301549,11.21733353
02/08/2012,SFO,ORD,16.03333333,12.30859847,11.62186801
16/08/2012,ORD,SFO,18.48484848,12.34378774,13.49565025
21/03/2012,BOS,ORD,7.8,11.92700783,6.037975063
04/09/2012,DEN,SEA,13,10.99291838,9.334368473
12/07/2012,BOS,EWR,12.09090909,11.59381966,9.231979053
07/01/2012,PHL,BOS,5.545454545,7.785131052,4.227614844
01/09/2012,LAX,EWR,13.16666667,10.32699416,9.959337618
12/12/2011,ATL,ORD,10.63157895,12.06210132,9.917495911
23/07/2012,ORD,DEN,14.03703704,11.58261857,9.705198771
06/03/2012,DFW,ORD,6.928571429,12.16902211,5.014813222
25/01/2012,PHL,DFW,5.454545455,10.42705517,4.156047073
24/07/2012,MSP,DEN,11.08695652,10.93022421,8.145902726
07/03/2012,ATL,MCO,11.08695652,11.84099029,8.45261145
19/10/2012,BOS,EWR,13.26086957,11.20629091,10.72048757
30/10/2011,ORD,MSP,8.631578947,11.03859354,6.49110953
25/12/2011,EWR,LAX,12.81818182,10.00741517,8.671993035
04/09/2012,DEN,DFW,9.111111111,11.52943847,6.08652213
09/03/2012,ORD,LAX,13.25,12.02111119,10.01412047
02/10/2011,CLT,LGA,11.40909091,10.72247853,7.920191742
20/12/2012,SFO,JFK,18.48648649,12.064995,12.77719675
28/10/2012,MCO,ATL,13.25925926,11.02853973,9.800284896
15/09/2011,ORD,DTW,9.647058824,11.71975785,7.557621786
19/07/2012,ORD,DFW,11.13043478,12.93429774,7.027894731
