,DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd,DateDay,DateMonth,DateYear
0,19/06/2012,ORD,DFW,12.875,12.33129622,9.812647119,19,06,2012
1,10/09/2012,LAS,DEN,14.28571429,10.77518151,9.466733736,10,09,2012
2,05/10/2012,DEN,LAX,10.86363636,11.08317675,9.035883252,05,10,2012
3,09/10/2011,ATL,ORD,11.48,11.16926784,7.990202334,09,10,2011
4,21/02/2012,DEN,SFO,11.45,11.26936373,9.517159019,21,02,2012
5,22/01/2013,ATL,MCO,10.36363636,12.07364919,8.232024889,22,01,2013
6,20/10/2011,SFO,LAS,15.26666667,11.17393612,9.808277058,20,10,2011
7,28/01/2012,EWR,ORD,8.588235294,9.5999524,6.165010376,28,01,2012
8,27/05/2012,ATL,CLT,10.23809524,9.175645143,6.609877169,27,05,2012
9,22/02/2013,ATL,DEN,8.294117647,10.73431968,5.542615649,22,02,2013
10,25/04/2012,ATL,MSP,12.6,10.76939863,9.725396307,25,04,2012
11,31/01/2013,ORD,EWR,8.933333333,12.33630287,9.407190765,31,01,2013
12,23/06/2012,IAH,LAX,13.62962963,10.26730984,9.178353079,23,06,2012
13,12/09/2011,LAX,ORD,12.80769231,12.66755768,8.129055201,12,09,2011
14,15/11/2012,DFW,ORD,9.9,12.87906243,6.608606828,15,11,2012
15,04/03/2012,ATL,DEN,10.56521739,10.561284,7.590820335,04,03,2012
16,10/01/2012,ORD,PHX,13.76,10.64980794,9.95523313,10,01,2012
17,13/02/2013,SEA,SFO,7.0,11.75764417,4.472135955,13,02,2013
18,15/06/2012,EWR,MCO,12.875,10.51539476,9.665323495,15,06,2012
19,03/02/2012,ATL,MSP,9.842105263,10.91421574,7.819229558,03,02,2012
20,06/02/2013,SFO,DEN,10.52380952,10.91956718,7.13876073,06,02,2013
21,02/12/2011,ORD,DTW,9.833333333,11.25155953,8.304853294,02,12,2011
22,27/08/2012,JFK,MIA,16.06896552,10.21347175,10.34729445,27,08,2012
23,16/04/2012,PHL,DFW,6.153846154,11.36435988,4.180234321,16,04,2012
24,12/11/2012,EWR,BOS,11.0,11.74051847,8.711758539,12,11,2012
25,08/09/2011,ATL,PHL,8.684210526,11.55241587,6.700353486,08,09,2011
26,24/10/2012,LAS,JFK,14.03571429,11.40186904,8.971073444,24,10,2012
27,16/04/2012,ORD,EWR,8.133333333,12.11351279,6.289068369,16,04,2012
28,14/03/2012,PHL,ATL,8.176470588,11.52943847,6.616601225,14,03,2012
29,24/07/2012,EWR,SFO,13.96,10.62494123,10.92199615,24,07,2012
30,19/11/2011,SFO,ATL,9.526315789,9.765837305,6.653056282,19,11,2011
31,02/05/2012,JFK,MCO,13.85185185,10.63741603,9.247468276,02,05,2012
32,04/03/2013,MIA,JFK,13.0,9.890535077,8.883505314,04,03,2013
33,28/04/2012,SEA,ORD,7.625,9.755890744,4.964876635,28,04,2012
34,31/08/2012,LAS,JFK,17.62162162,11.12193089,11.68653392,31,08,2012
35,11/02/2012,MIA,LGA,13.78947368,10.26730984,13.22698818,11,02,2012
