,DateOfDeparture,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd,DateDay,DateMonth,DateYear,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
0,19/06/2012,ORD,DFW,12.875,12.33129622,9.812647119,19,06,2012,35,31,26,20,18,17,62,51,39,1014,1012,1009,16,16,16,37,25,56.0,0.00,1,,208
1,19/06/2012,ORD,PHX,11.77272727,10.50207345,8.970490342,19,06,2012,35,31,26,20,18,17,62,51,39,1014,1012,1009,16,16,16,37,25,56.0,0.00,1,,208
2,19/06/2012,ORD,SFO,13.48,12.16080031,9.372477438,19,06,2012,35,31,26,20,18,17,62,51,39,1014,1012,1009,16,16,16,37,25,56.0,0.00,1,,208
3,19/06/2012,ORD,ATL,11.17391304,11.78807962,8.819669,19,06,2012,35,31,26,20,18,17,62,51,39,1014,1012,1009,16,16,16,37,25,56.0,0.00,1,,208
4,10/09/2012,LAS,DEN,14.28571429,10.77518151,9.466733736,10,09,2012,36,32,27,16,13,10,51,36,21,1011,1009,1005,16,15,11,32,18,50.0,0.00,5,,187
5,05/10/2012,DEN,LAX,10.86363636,11.08317675,9.035883252,05,10,2012,6,2,-1,0,-2,-4,92,76,60,1027,1023,1020,16,9,1,27,15,32.0,T,7,Rain-Snow,357
6,05/10/2012,DEN,SFO,10.21052632,11.08806529,8.010957408,05,10,2012,6,2,-1,0,-2,-4,92,76,60,1027,1023,1020,16,9,1,27,15,32.0,T,7,Rain-Snow,357
7,05/10/2012,DEN,ORD,9.444444444,11.08317675,7.34224058,05,10,2012,6,2,-1,0,-2,-4,92,76,60,1027,1023,1020,16,9,1,27,15,32.0,T,7,Rain-Snow,357
8,09/10/2011,ATL,ORD,11.48,11.16926784,7.990202334,09,10,2011,22,19,16,12,10,6,67,56,44,1026,1024,1021,16,16,16,37,26,45.0,0.00,8,,70
9,09/10/2011,ATL,LAX,11.65217391,11.60865056,9.217615032,09,10,2011,22,19,16,12,10,6,67,56,44,1026,1024,1021,16,16,16,37,26,45.0,0.00,8,,70
10,21/02/2012,DEN,SFO,11.45,11.26936373,9.517159019,21,02,2012,8,2,-4,-6,-9,-13,46,39,31,1012,1008,1004,16,16,16,61,30,77.0,0.00,5,,270
11,22/01/2013,ATL,MCO,10.36363636,12.07364919,8.232024889,22,01,2013,7,3,-2,-8,-9,-12,51,40,29,1027,1025,1021,16,16,16,34,19,45.0,0.00,1,,318
12,20/10/2011,SFO,LAS,15.26666667,11.17393612,9.808277058,20,10,2011,18,15,12,12,11,10,86,77,67,1019,1017,1016,16,16,14,39,18,47.0,0.00,4,,269
13,28/01/2012,EWR,ORD,8.588235294,9.5999524,6.165010376,28,01,2012,9,6,2,-2,-4,-9,54,44,33,1017,1015,1012,16,16,16,40,17,52.0,0.00,3,,254
14,28/01/2012,EWR,LAX,14.0,9.989903534,10.89779357,28,01,2012,9,6,2,-2,-4,-9,54,44,33,1017,1015,1012,16,16,16,40,17,52.0,0.00,3,,254
15,27/05/2012,ATL,CLT,10.23809524,9.175645143,6.609877169,27,05,2012,32,27,23,18,17,16,73,56,38,1019,1017,1015,16,16,16,32,18,40.0,0.00,1,,66
16,27/05/2012,ATL,PHL,9.65,10.68649717,6.175290319,27,05,2012,32,27,23,18,17,16,73,56,38,1019,1017,1015,16,16,16,32,18,40.0,0.00,1,,66
17,27/05/2012,ATL,LGA,10.85714286,11.29575534,7.831256057,27,05,2012,32,27,23,18,17,16,73,56,38,1019,1017,1015,16,16,16,32,18,40.0,0.00,1,,66
18,27/05/2012,ATL,MIA,11.92307692,9.332238541,8.332697412,27,05,2012,32,27,23,18,17,16,73,56,38,1019,1017,1015,16,16,16,32,18,40.0,0.00,1,,66
19,27/05/2012,ATL,ORD,11.73913043,9.417859021,10.39325564,27,05,2012,32,27,23,18,17,16,73,56,38,1019,1017,1015,16,16,16,32,18,40.0,0.00,1,,66
20,22/02/2013,ATL,DEN,8.294117647,10.73431968,5.542615649,22,02,2013,11,8,6,6,5,4,96,88,80,1021,1019,1017,13,5,0,39,23,48.0,37.59,8,Rain-Thunderstorm,76
21,22/02/2013,ATL,LAX,11.72727273,11.35592107,10.95524149,22,02,2013,11,8,6,6,5,4,96,88,80,1021,1019,1017,13,5,0,39,23,48.0,37.59,8,Rain-Thunderstorm,76
